MUNICÍPIO DO FATO;REGIAO GEOGRÁFICA;NATUREZA;DATA DO FATO;ANO;SEXO;IDADE SENASP;TOTAL DE ENVOLVIDOS
OROBO;AGRESTE;ESTUPRO DE VULNERÁVEL;07/07/2017;2017;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO;07/07/2017;2017;FEMININO;4) 25-29;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;07/07/2017;2017;MASCULINO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;07/07/2017;2017;FEMININO;6) 35-64;1
AGRESTINA;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;08/07/2017;2017;FEMININO;2) 12-17;2
IGARASSU;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;08/07/2017;2017;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO;08/07/2017;2017;FEMININO;3) 18-24;1
RECIFE;RECIFE;ESTUPRO;08/07/2017;2017;FEMININO;4) 25-29;1
CARUARU;AGRESTE;ESTUPRO;09/07/2017;2017;FEMININO;4) 25-29;1
IGARASSU;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;09/07/2017;2017;FEMININO;1) 00-11;1
MACHADOS;AGRESTE;ESTUPRO DE VULNERÁVEL;09/07/2017;2017;FEMININO;1) 00-11;1
PETROLINA;SERTÃO;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;09/07/2017;2017;FEMININO;2) 12-17;1
POMBOS;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;09/07/2017;2017;DESCONHECIDO;2) 12-17;1
BUIQUE;AGRESTE;ESTUPRO;10/07/2017;2017;MASCULINO;(vazio);1
IGARASSU;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;10/07/2017;2017;FEMININO;2) 12-17;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;10/07/2017;2017;FEMININO;2) 12-17;1
MORENO;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;10/07/2017;2017;FEMININO;2) 12-17;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;10/07/2017;2017;FEMININO;2) 12-17;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO;10/07/2017;2017;FEMININO;6) 35-64;1
PETROLINA;SERTÃO;ESTUPRO;10/07/2017;2017;FEMININO;5) 30-34;1
RECIFE;RECIFE;ESTUPRO;10/07/2017;2017;FEMININO;1) 00-11;1
CARUARU;AGRESTE;ESTUPRO;11/07/2017;2017;FEMININO;6) 35-64;1
EXU;SERTÃO;ESTUPRO;12/07/2017;2017;FEMININO;5) 30-34;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO;12/07/2017;2017;FEMININO;5) 30-34;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;12/07/2017;2017;FEMININO;2) 12-17;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO;13/07/2017;2017;FEMININO;6) 35-64;1
AFOGADOS DA INGAZEIRA;SERTÃO;ESTUPRO;14/07/2017;2017;FEMININO;2) 12-17;1
CANHOTINHO;AGRESTE;ESTUPRO;14/07/2017;2017;MASCULINO;7) 65 OU MAIS;1
DORMENTES;SERTÃO;ESTUPRO;14/07/2017;2017;FEMININO;3) 18-24;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;14/07/2017;2017;MASCULINO;1) 00-11;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;14/07/2017;2017;FEMININO;2) 12-17;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;14/07/2017;2017;FEMININO;4) 25-29;1
RECIFE;RECIFE;ESTUPRO;14/07/2017;2017;FEMININO;4) 25-29;1
CANHOTINHO;AGRESTE;ESTUPRO;15/07/2017;2017;FEMININO;2) 12-17;1
ESCADA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;15/07/2017;2017;MASCULINO;1) 00-11;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;15/07/2017;2017;FEMININO;1) 00-11;1
PARNAMIRIM;SERTÃO;ESTUPRO DE VULNERÁVEL;15/07/2017;2017;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;15/07/2017;2017;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;15/07/2017;2017;FEMININO;1) 00-11;1
GARANHUNS;AGRESTE;ESTUPRO;16/07/2017;2017;FEMININO;3) 18-24;1
JOAO ALFREDO;AGRESTE;ESTUPRO DE VULNERÁVEL;16/07/2017;2017;FEMININO;2) 12-17;1
PASSIRA;AGRESTE;ESTUPRO DE VULNERÁVEL;16/07/2017;2017;FEMININO;1) 00-11;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO;16/07/2017;2017;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;16/07/2017;2017;FEMININO;4) 25-29;1
SANHARO;AGRESTE;ESTUPRO DE VULNERÁVEL;16/07/2017;2017;FEMININO;4) 25-29;1
TUPANATINGA;AGRESTE;ESTUPRO;16/07/2017;2017;FEMININO;5) 30-34;1
CABO DE SANTO AGOSTINHO;REGIÃO METROPOLITANA;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;17/07/2017;2017;FEMININO;6) 35-64;1
CARUARU;AGRESTE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;17/07/2017;2017;FEMININO;6) 35-64;1
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;17/07/2017;2017;FEMININO;1) 00-11;1
LAGOA DO OURO;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;17/07/2017;2017;FEMININO;1) 00-11;2
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;17/07/2017;2017;FEMININO;1) 00-11;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;17/07/2017;2017;MASCULINO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO;17/07/2017;2017;FEMININO;3) 18-24;1
RECIFE;RECIFE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;17/07/2017;2017;FEMININO;6) 35-64;1
TACARATU;SERTÃO;ESTUPRO DE VULNERÁVEL;17/07/2017;2017;FEMININO;(vazio);1
CARUARU;AGRESTE;ESTUPRO;18/07/2017;2017;FEMININO;6) 35-64;1
GARANHUNS;AGRESTE;ESTUPRO DE VULNERÁVEL;18/07/2017;2017;FEMININO;1) 00-11;1
ITAQUITINGA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;18/07/2017;2017;MASCULINO;2) 12-17;1
PAUDALHO;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;18/07/2017;2017;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO;18/07/2017;2017;FEMININO;6) 35-64;1
SANTA MARIA DO CAMBUCA;AGRESTE;ESTUPRO DE VULNERÁVEL;18/07/2017;2017;FEMININO;2) 12-17;1
CAMARAGIBE;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;19/07/2017;2017;FEMININO;2) 12-17;1
CAMARAGIBE;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;19/07/2017;2017;FEMININO;6) 35-64;1
CARUARU;AGRESTE;ESTUPRO DE VULNERÁVEL;19/07/2017;2017;MASCULINO;1) 00-11;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;19/07/2017;2017;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;19/07/2017;2017;FEMININO;1) 00-11;1
BELO JARDIM;AGRESTE;ESTUPRO DE VULNERÁVEL;20/07/2017;2017;MASCULINO;1) 00-11;1
BREJO DA MADRE DE DEUS;AGRESTE;ESTUPRO DE VULNERÁVEL;20/07/2017;2017;FEMININO;1) 00-11;1
ITAIBA;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;20/07/2017;2017;FEMININO;1) 00-11;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;20/07/2017;2017;FEMININO;1) 00-11;1
JUCATI;AGRESTE;ESTUPRO DE VULNERÁVEL;20/07/2017;2017;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;20/07/2017;2017;FEMININO;2) 12-17;1
TORITAMA;AGRESTE;ESTUPRO;20/07/2017;2017;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;21/07/2017;2017;MASCULINO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;21/07/2017;2017;FEMININO;1) 00-11;1
BEZERROS;AGRESTE;ESTUPRO;22/07/2017;2017;FEMININO;3) 18-24;1
CABO DE SANTO AGOSTINHO;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;22/07/2017;2017;FEMININO;1) 00-11;1
ESCADA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;22/07/2017;2017;FEMININO;2) 12-17;1
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;22/07/2017;2017;FEMININO;1) 00-11;1
IPUBI;SERTÃO;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;22/07/2017;2017;FEMININO;1) 00-11;2
PALMEIRINA;AGRESTE;ESTUPRO DE VULNERÁVEL;22/07/2017;2017;FEMININO;1) 00-11;2
PETROLANDIA;SERTÃO;ESTUPRO;22/07/2017;2017;FEMININO;3) 18-24;1
CABO DE SANTO AGOSTINHO;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;23/07/2017;2017;FEMININO;2) 12-17;1
CABO DE SANTO AGOSTINHO;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;23/07/2017;2017;MASCULINO;1) 00-11;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;23/07/2017;2017;FEMININO;1) 00-11;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;23/07/2017;2017;FEMININO;6) 35-64;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;23/07/2017;2017;FEMININO;(vazio);1
AMARAJI;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;24/07/2017;2017;FEMININO;2) 12-17;1
EXU;SERTÃO;ESTUPRO DE VULNERÁVEL;24/07/2017;2017;FEMININO;1) 00-11;1
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;24/07/2017;2017;FEMININO;4) 25-29;1
SAO JOSE DO EGITO;SERTÃO;ESTUPRO;24/07/2017;2017;FEMININO;6) 35-64;1
TRINDADE;SERTÃO;ESTUPRO;24/07/2017;2017;MASCULINO;6) 35-64;1
ABREU E LIMA;REGIÃO METROPOLITANA;ESTUPRO;25/07/2017;2017;MASCULINO;3) 18-24;1
CABO DE SANTO AGOSTINHO;REGIÃO METROPOLITANA;ESTUPRO;25/07/2017;2017;FEMININO;2) 12-17;1
FERREIROS;ZONA DA MATA;ESTUPRO;25/07/2017;2017;FEMININO;5) 30-34;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO;25/07/2017;2017;FEMININO;3) 18-24;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;25/07/2017;2017;FEMININO;2) 12-17;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;25/07/2017;2017;FEMININO;2) 12-17;1
LAJEDO;AGRESTE;ESTUPRO DE VULNERÁVEL;25/07/2017;2017;MASCULINO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;25/07/2017;2017;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;25/07/2017;2017;FEMININO;6) 35-64;1
BUIQUE;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;26/07/2017;2017;FEMININO;2) 12-17;1
CARUARU;AGRESTE;ESTUPRO;26/07/2017;2017;FEMININO;3) 18-24;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;26/07/2017;2017;FEMININO;2) 12-17;1
SALGUEIRO;SERTÃO;ESTUPRO DE VULNERÁVEL;26/07/2017;2017;FEMININO;(vazio);1
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO;27/07/2017;2017;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;27/07/2017;2017;FEMININO;1) 00-11;1
SAO JOSE DA COROA GRANDE;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;27/07/2017;2017;FEMININO;2) 12-17;1
TAQUARITINGA DO NORTE;AGRESTE;ESTUPRO DE VULNERÁVEL;27/07/2017;2017;FEMININO;2) 12-17;1
TIMBAUBA;ZONA DA MATA;ESTUPRO;27/07/2017;2017;FEMININO;3) 18-24;1
BODOCO;SERTÃO;ESTUPRO DE VULNERÁVEL;28/07/2017;2017;FEMININO;2) 12-17;1
TACAIMBO;AGRESTE;ESTUPRO DE VULNERÁVEL;28/07/2017;2017;FEMININO;2) 12-17;2
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;29/07/2017;2017;FEMININO;2) 12-17;1
PAUDALHO;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;29/07/2017;2017;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO;29/07/2017;2017;FEMININO;6) 35-64;1
ALIANCA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;30/07/2017;2017;FEMININO;2) 12-17;1
ARARIPINA;SERTÃO;ESTUPRO DE VULNERÁVEL;30/07/2017;2017;FEMININO;2) 12-17;1
GARANHUNS;AGRESTE;ESTUPRO;30/07/2017;2017;FEMININO;5) 30-34;1
IGARASSU;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;30/07/2017;2017;FEMININO;2) 12-17;1
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;30/07/2017;2017;FEMININO;1) 00-11;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;30/07/2017;2017;FEMININO;2) 12-17;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO;30/07/2017;2017;FEMININO;3) 18-24;1
PETROLINA;SERTÃO;ESTUPRO;30/07/2017;2017;MASCULINO;3) 18-24;2
ALIANCA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;31/07/2017;2017;MASCULINO;5) 30-34;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO;31/07/2017;2017;FEMININO;5) 30-34;1
PAUDALHO;ZONA DA MATA;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;31/07/2017;2017;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO;31/07/2017;2017;FEMININO;6) 35-64;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;31/07/2017;2017;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;31/07/2017;2017;MASCULINO;1) 00-11;1
SERRA TALHADA;SERTÃO;ESTUPRO DE VULNERÁVEL;31/07/2017;2017;FEMININO;2) 12-17;1
BELO JARDIM;AGRESTE;ESTUPRO;01/08/2017;2017;FEMININO;3) 18-24;1
BREJO DA MADRE DE DEUS;AGRESTE;ESTUPRO DE VULNERÁVEL;01/08/2017;2017;FEMININO;1) 00-11;1
BREJO DA MADRE DE DEUS;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;01/08/2017;2017;FEMININO;1) 00-11;1
CARPINA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;01/08/2017;2017;FEMININO;1) 00-11;1
CARUARU;AGRESTE;ESTUPRO;01/08/2017;2017;FEMININO;6) 35-64;1
MOREILANDIA;SERTÃO;ESTUPRO DE VULNERÁVEL;01/08/2017;2017;FEMININO;2) 12-17;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO;01/08/2017;2017;FEMININO;4) 25-29;1
PASSIRA;AGRESTE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;01/08/2017;2017;FEMININO;6) 35-64;1
PAULISTA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;01/08/2017;2017;FEMININO;2) 12-17;1
PETROLANDIA;SERTÃO;ESTUPRO DE VULNERÁVEL;01/08/2017;2017;FEMININO;1) 00-11;1
PETROLINA;SERTÃO;ESTUPRO;01/08/2017;2017;FEMININO;2) 12-17;1
PETROLINA;SERTÃO;ESTUPRO DE VULNERÁVEL;01/08/2017;2017;MASCULINO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;01/08/2017;2017;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;01/08/2017;2017;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;01/08/2017;2017;FEMININO;2) 12-17;1
SALGUEIRO;SERTÃO;ESTUPRO DE VULNERÁVEL;01/08/2017;2017;FEMININO;1) 00-11;1
SALGUEIRO;SERTÃO;ESTUPRO DE VULNERÁVEL;01/08/2017;2017;FEMININO;2) 12-17;2
SALGUEIRO;SERTÃO;ESTUPRO DE VULNERÁVEL;01/08/2017;2017;MASCULINO;2) 12-17;1
SANTA CRUZ DO CAPIBARIBE;AGRESTE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;01/08/2017;2017;FEMININO;2) 12-17;1
SAO JOSE DO BELMONTE;SERTÃO;ESTUPRO DE VULNERÁVEL;01/08/2017;2017;FEMININO;2) 12-17;1
ARCOVERDE;SERTÃO;ESTUPRO;02/08/2017;2017;FEMININO;2) 12-17;1
CALCADO;AGRESTE;ESTUPRO DE VULNERÁVEL;02/08/2017;2017;FEMININO;(vazio);1
CAMUTANGA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;02/08/2017;2017;FEMININO;2) 12-17;1
CARUARU;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;02/08/2017;2017;FEMININO;1) 00-11;1
GARANHUNS;AGRESTE;ESTUPRO DE VULNERÁVEL;02/08/2017;2017;FEMININO;2) 12-17;1
IBIMIRIM;SERTÃO;ESTUPRO DE VULNERÁVEL;02/08/2017;2017;FEMININO;1) 00-11;1
IPOJUCA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;02/08/2017;2017;FEMININO;1) 00-11;1
LAJEDO;AGRESTE;ESTUPRO;02/08/2017;2017;FEMININO;6) 35-64;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO;02/08/2017;2017;FEMININO;4) 25-29;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;02/08/2017;2017;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;02/08/2017;2017;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;02/08/2017;2017;MASCULINO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;02/08/2017;2017;FEMININO;2) 12-17;1
SAO JOSE DA COROA GRANDE;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;02/08/2017;2017;FEMININO;1) 00-11;1
AMARAJI;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;03/08/2017;2017;FEMININO;2) 12-17;1
ARARIPINA;SERTÃO;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;03/08/2017;2017;FEMININO;6) 35-64;1
CARUARU;AGRESTE;ESTUPRO;03/08/2017;2017;FEMININO;5) 30-34;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;03/08/2017;2017;FEMININO;2) 12-17;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;03/08/2017;2017;FEMININO;6) 35-64;1
PETROLINA;SERTÃO;ESTUPRO;03/08/2017;2017;FEMININO;7) 65 OU MAIS;1
BONITO;AGRESTE;ESTUPRO DE VULNERÁVEL;04/08/2017;2017;FEMININO;2) 12-17;1
CHA DE ALEGRIA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;04/08/2017;2017;FEMININO;2) 12-17;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO;04/08/2017;2017;FEMININO;3) 18-24;1
SAO BENTO DO UNA;AGRESTE;ESTUPRO;04/08/2017;2017;FEMININO;3) 18-24;1
CARUARU;AGRESTE;ESTUPRO;05/08/2017;2017;FEMININO;4) 25-29;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;05/08/2017;2017;FEMININO;1) 00-11;1
TAMANDARE;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;05/08/2017;2017;FEMININO;2) 12-17;1
BELO JARDIM;AGRESTE;ESTUPRO DE VULNERÁVEL;06/08/2017;2017;FEMININO;1) 00-11;1
CABO DE SANTO AGOSTINHO;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;06/08/2017;2017;FEMININO;1) 00-11;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;06/08/2017;2017;MASCULINO;1) 00-11;1
LAJEDO;AGRESTE;ESTUPRO;06/08/2017;2017;FEMININO;6) 35-64;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO;06/08/2017;2017;FEMININO;3) 18-24;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;06/08/2017;2017;MASCULINO;1) 00-11;1
PESQUEIRA;AGRESTE;ESTUPRO;06/08/2017;2017;FEMININO;6) 35-64;1
RECIFE;RECIFE;ESTUPRO;06/08/2017;2017;FEMININO;5) 30-34;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;06/08/2017;2017;FEMININO;2) 12-17;1
TUPANATINGA;AGRESTE;ESTUPRO DE VULNERÁVEL;06/08/2017;2017;FEMININO;3) 18-24;1
BELO JARDIM;AGRESTE;ESTUPRO;07/08/2017;2017;FEMININO;6) 35-64;1
CATENDE;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;07/08/2017;2017;FEMININO;2) 12-17;1
GOIANA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;07/08/2017;2017;FEMININO;2) 12-17;1
PARANATAMA;AGRESTE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;07/08/2017;2017;FEMININO;2) 12-17;1
SURUBIM;AGRESTE;ESTUPRO DE VULNERÁVEL;07/08/2017;2017;FEMININO;1) 00-11;3
BUENOS AIRES;ZONA DA MATA;ESTUPRO;08/08/2017;2017;MASCULINO;2) 12-17;1
CARUARU;AGRESTE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;08/08/2017;2017;FEMININO;3) 18-24;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO;08/08/2017;2017;FEMININO;1) 00-11;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO;08/08/2017;2017;FEMININO;3) 18-24;1
PETROLINA;SERTÃO;ESTUPRO;08/08/2017;2017;FEMININO;2) 12-17;1
PETROLINA;SERTÃO;ESTUPRO;08/08/2017;2017;FEMININO;6) 35-64;1
RECIFE;RECIFE;ESTUPRO;08/08/2017;2017;FEMININO;5) 30-34;1
SERRA TALHADA;SERTÃO;ESTUPRO DE VULNERÁVEL;08/08/2017;2017;FEMININO;2) 12-17;1
AGUA PRETA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;09/08/2017;2017;FEMININO;1) 00-11;2
GLORIA DO GOITA;ZONA DA MATA;ESTUPRO DE VULNERÁVEL;09/08/2017;2017;FEMININO;1) 00-11;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;09/08/2017;2017;FEMININO;1) 00-11;1
JABOATAO DOS GUARARAPES;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;09/08/2017;2017;FEMININO;2) 12-17;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;09/08/2017;2017;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;09/08/2017;2017;FEMININO;1) 00-11;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL;09/08/2017;2017;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;09/08/2017;2017;FEMININO;2) 12-17;1
RECIFE;RECIFE;ESTUPRO POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;09/08/2017;2017;FEMININO;4) 25-29;1
ABREU E LIMA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL POR VIOLÊNCIA DOMÉSTICA/FAMILIAR;10/08/2017;2017;FEMININO;1) 00-11;1
CANHOTINHO;AGRESTE;ESTUPRO;10/08/2017;2017;MASCULINO;2) 12-17;1
ESCADA;ZONA DA MATA;ESTUPRO;10/08/2017;2017;FEMININO;3) 18-24;1
LAGOA DO OURO;AGRESTE;ESTUPRO DE VULNERÁVEL;10/08/2017;2017;FEMININO;3) 18-24;1
OLINDA;REGIÃO METROPOLITANA;ESTUPRO DE VULNERÁVEL;10/08/2017;2017;FEMININO;(vazio);1
PALMARES;ZONA DA MATA;ESTUPRO;10/08/2017;2017;FEMININO;6) 35-64;1
